name,url,rating,review_count,star_rating,location
Foxoso Fiori Hotel,https://www.agoda.com/fiori-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,8.8,79.0,4.0,"Chitrakoot, Jaipur"
Boby Home Stay ( Boby Mansion ),https://www.agoda.com/boby-mansion/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,,,,
Royal Heritage Haveli - By Leisure Hotels,https://www.agoda.com/royal-heritage-haveli/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,8.9,487.0,5.0,"Khatipura, Jaipur"
Treebo Premium Vinnie - Near Airport,https://www.agoda.com/hotel-vinnie-h50292767/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,6.2,43.0,4.0,"Jaipur Airport, Jaipur"
Noble House - A Heritage Home,https://www.agoda.com/noble-house-a-heritage-home/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=5&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,8.1,534.0,5.0,"Khatipura, Jaipur"
Pandya Niwas,https://www.agoda.com/pandya-niwas_3/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=14b9b150-6340-46bc-8e12-a8912f0c86bd,7.8,1083.0,3.0,"Amer, Jaipur"
Hotel Royal Empire,https://www.agoda.com/capital-o-18514-hotel-royal-empire/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,6.3,192.0,3.0,"Jaipur Airport, Jaipur"
Marigold Inn - Homestay,https://www.agoda.com/marigold-inn-homestay/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=1&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,9.3,449.0,4.0,"Shanti Nagar, Jaipur"
Hotel me-casa inn,https://www.agoda.com/hotel-me-casa-inn/hotel/all/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,,,,"Mansarovar, Jaipur"
Maru Casa,https://www.agoda.com/maru-casa/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,7.3,141.0,3.0,"Sindhi Camp, Jaipur"
Regenta Inn Jaipur,https://www.agoda.com/regenta-inn-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=9&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,7.5,306.0,3.0,"Adarsh Nagar, Jaipur"
The Pink Nest - Backpackers Abode,https://www.agoda.com/the-pink-nest/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.8,335.0,3.0,"Jalupura, Jaipur"
FabHotel Jaipur Villa,https://www.agoda.com/villa-jaipur_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=9&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,7.4,128.0,3.0,"Vaishali Nagar, Jaipur"
HOTEL HS INN,https://www.agoda.com/hotel-hs-inn/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,6.9,10.0,5.0,"Jaipur Airport, Jaipur"
Laalee,https://www.agoda.com/laalee/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,9.9,37.0,4.0,"Gopalbari, Jaipur"
Grand Anukampa by Black Tie,https://www.agoda.com/grand-anukampa-by-black-tie/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,4.9,104.0,4.0,"Shyam Nagar, Jaipur"
Ciudad Rosa,https://www.agoda.com/ciudad-rosa/hotel/all/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,10.0,1.0,,"Removed from saved list Ciudad Rosa Mansarovar, Jaipur"
Rajmahal Palace RAAS Jaipur,https://www.agoda.com/sujan-rajmahal-palace-jaipur-relais-chateaux/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,9.1,215.0,5.0,"Hathroi, Jaipur"
Golden Tulip Jaipur,https://www.agoda.com/golden-tulip-hotel-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.3,1503.0,4.0,"Ashok Nagar, Jaipur"
Pearl Palace Heritage - The Boutique Guest House,https://www.agoda.com/pearl-palace-heritage-the-boutique-guest-house/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,9.1,1663.0,3.0,"Gopalbari, Jaipur"
Hotel RS Haveli Jaipur,https://www.agoda.com/hotel-rs-haveli-jaipur/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,,,4.0,"Jhotwara, Jaipur"
Hotel Sagun,https://www.agoda.com/hotel-sagun_2/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=9&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,6.0,203.0,3.0,"Gopalbari, Jaipur"
Jaipur Haveli,https://www.agoda.com/jaipur-haveli/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=1&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,9.2,1197.0,4.0,"Amer, Jaipur"
Dev Mahal - A Boutique Heritage Hotel,https://www.agoda.com/hotel-dev-mahal/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.9,656.0,4.0,"Bani Park, Jaipur"
Hotel Yulia,https://www.agoda.com/le-amour-inn/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.2,146.0,3.0,"Durgapura, Jaipur"
Hathi Mauja,https://www.agoda.com/hathi-mauja/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=1&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,9.3,170.0,4.0,"Amer, Jaipur"
The Art Ghar,https://www.agoda.com/the-art-ghar/hotel/all/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,9.0,127.0,4.0,"Shyam Nagar, Jaipur"
Brij Bageecha Jaipur - Private Villas with Heated Plunge Pool,https://www.agoda.com/brij-bageecha/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.9,93.0,5.0,"Kukas, Jaipur"
Suryaa Villa Jaipur - A City Centre Heritage Haveli,https://www.agoda.com/suryaa-villa-a-classic-heritage-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=9&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,,,,
Super Townhouse Collectorate Circle Formerly LD Prime,https://www.agoda.com/townhouse-1043-ld-prime/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,6.1,191.0,4.0,"Bani Park, Jaipur"
Trimrooms Mount Blue,https://www.agoda.com/trimrooms-mount-blue/hotel/all/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.0,1376.0,3.0,"Amer, Jaipur"
Jaipur Hotel New - A Heritage Hotel,https://www.agoda.com/jaipur-hotel-new-heritage-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=2&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.4,1448.0,3.0,"Amer, Jaipur"
Flute boutique by Hotel 91,https://www.agoda.com/times-flute-boutique-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&tspTypes=9&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,8.0,1102.0,3.0,"Hathroi, Jaipur"
Hotel Pulse Inn,https://www.agoda.com/hotel-shree-raj-laxmi-palace/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,7.9,610.0,3.0,"Bani Park, Jaipur"
RAJLAXMI HOTEL - Free Airport Pickup and Drop,https://www.agoda.com/rajlaxmi-hotel/hotel/jaipur-in.html?countryId=35&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&los=1&searchrequestid=1723c357-6c0c-417d-adef-497a480f2ee6,7.3,59.0,3.0,"Jaipur Airport, Jaipur"
